hour,technology,value
1,WindOnshore,0.912
2,WindOnshore,0.692461595
3,WindOnshore,0.274035431
4,WindOnshore,0.163549432
5,WindOnshore,0.297907181
6,WindOnshore,0.372760692
7,WindOnshore,0.353184218
8,WindOnshore,0.163503983
9,WindOnshore,0.372108077
10,WindOnshore,0.623028854
11,WindOnshore,0.553465282
12,WindOnshore,0.267490923
13,WindOnshore,0.050690388
14,WindOnshore,0.108842437
15,WindOnshore,0.160057977
16,WindOnshore,0.168062429
17,WindOnshore,0.144886072
18,WindOnshore,0.180597531
19,WindOnshore,0.207626459
20,WindOnshore,0.194174393
21,WindOnshore,0.109092004
22,WindOnshore,0.208057466
23,WindOnshore,0.204662611
24,WindOnshore,0.349854589
25,WindOnshore,0.554651334
26,WindOnshore,0.520424599
27,WindOnshore,0.337935923
28,WindOnshore,0.017143062
29,WindOnshore,0.045611693
30,WindOnshore,0.060598006
31,WindOnshore,0.332514541
32,WindOnshore,0.296095356
33,WindOnshore,0.384823987
34,WindOnshore,0.107928425
35,WindOnshore,0.081449667
36,WindOnshore,0.045886908
37,WindOnshore,0.088858683
38,WindOnshore,0.150799097
39,WindOnshore,0.27367942
40,WindOnshore,0.241516694
41,WindOnshore,0.287792184
42,WindOnshore,0.200186862
43,WindOnshore,0.179298119
44,WindOnshore,0.149460833
45,WindOnshore,0.077876206
46,WindOnshore,0.08156678
47,WindOnshore,0.061844739
48,WindOnshore,0.043797637
49,WindOnshore,0.027180399
50,WindOnshore,0.006331744
51,WindOnshore,0.004598667
52,WindOnshore,0.0003
53,WindOnshore,0.004414297
54,WindOnshore,0.024031546
55,WindOnshore,0.078185546
56,WindOnshore,0.084663908
57,WindOnshore,0.199522113
58,WindOnshore,0.168062429
59,WindOnshore,0.223945107
60,WindOnshore,0.12381813
61,WindOnshore,0.147591651
62,WindOnshore,0.126003656
63,WindOnshore,0.095838744
64,WindOnshore,0.07652601
65,WindOnshore,0.081644876
66,WindOnshore,0.086676614
67,WindOnshore,0.055344629
68,WindOnshore,0.037332769
69,WindOnshore,0.025837787
70,WindOnshore,0.028413785
71,WindOnshore,0.029221886
72,WindOnshore,0.068310256
73,WindOnshore,0.199806947
74,WindOnshore,0.254306394
75,WindOnshore,0.183994869
76,WindOnshore,0.114025321
77,WindOnshore,0.04942725
78,WindOnshore,0.070004943
79,WindOnshore,0.030411836
80,WindOnshore,0.025353311
81,WindOnshore,0.019962573
82,WindOnshore,0.0667368
83,WindOnshore,0.082192005
84,WindOnshore,0.075987382
85,WindOnshore,0.042947596
86,WindOnshore,0.102808521
87,WindOnshore,0.161869668
88,WindOnshore,0.218507988
89,WindOnshore,0.18045821
90,WindOnshore,0.193278342
91,WindOnshore,0.184321366
92,WindOnshore,0.132609761
93,WindOnshore,0.201375112
94,WindOnshore,0.241318776
95,WindOnshore,0.224188513
96,WindOnshore,0.092494795
97,WindOnshore,0.259522539
98,WindOnshore,0.371673139
99,WindOnshore,0.570895952
100,WindOnshore,0.24141773
101,WindOnshore,0.153259317
102,WindOnshore,0.041023309
103,WindOnshore,0.10536168
104,WindOnshore,0.266074981
105,WindOnshore,0.396088162
106,WindOnshore,0.595422322
107,WindOnshore,0.445565628
108,WindOnshore,0.329175622
109,WindOnshore,0.249661622
110,WindOnshore,0.369554404
111,WindOnshore,0.375428122
112,WindOnshore,0.558688042
113,WindOnshore,0.662597386
114,WindOnshore,0.643910796
115,WindOnshore,0.255257618
116,WindOnshore,0.085294232
117,WindOnshore,0.133087534
118,WindOnshore,0.232105877
119,WindOnshore,0.225016526
120,WindOnshore,0.207411028
4,SolarPV,0.177490009
5,SolarPV,0.139369627
6,SolarPV,0.110937776
25,SolarPV,0.141125898
26,SolarPV,0.432672063
27,SolarPV,0.610958058
28,SolarPV,0.66552206
29,SolarPV,0.660112649
30,SolarPV,0.583265991
31,SolarPV,0.516056559
32,SolarPV,0.385748395
33,SolarPV,0.19391809
34,SolarPV,0.040535954
47,SolarPV,0.032849749
48,SolarPV,0.238327859
49,SolarPV,0.394312266
50,SolarPV,0.522716213
51,SolarPV,0.656952466
52,SolarPV,0.681242268
53,SolarPV,0.681690179
54,SolarPV,0.630632316
55,SolarPV,0.538815486
56,SolarPV,0.490678228
57,SolarPV,0.282076813
58,SolarPV,0.178628999
71,SolarPV,0.031562936
72,SolarPV,0.17063683
73,SolarPV,0.374612405
74,SolarPV,0.526039302
75,SolarPV,0.652431874
76,SolarPV,0.704
77,SolarPV,0.675862
78,SolarPV,0.674066381
79,SolarPV,0.562773412
80,SolarPV,0.427728738
81,SolarPV,0.194481293
98,SolarPV,0.027045788
99,SolarPV,0.022507579
100,SolarPV,0.083057526
101,SolarPV,0.098291135
102,SolarPV,0.226241238
103,SolarPV,0.184877338
104,SolarPV,0.061381129
