hour,fuel,value
1,Power,0.00592
2,Power,0.00748
3,Power,0.01019
4,Power,0.00984
5,Power,0.01023
6,Power,0.00943
7,Power,0.01087
8,Power,0.01064
9,Power,0.01138
10,Power,0.01104
11,Power,0.01001
12,Power,0.01037
13,Power,0.00952
14,Power,0.01003
15,Power,0.0091
16,Power,0.00897
17,Power,0.00831
18,Power,0.0073
19,Power,0.007
20,Power,0.00596
21,Power,0.00616
22,Power,0.00586
23,Power,0.00727
24,Power,0.00849
25,Power,0.00987
26,Power,0.01053
27,Power,0.00948
28,Power,0.00978
29,Power,0.00862
30,Power,0.0097
31,Power,0.00965
32,Power,0.01049
33,Power,0.01037
34,Power,0.00895
35,Power,0.00888
36,Power,0.00789
37,Power,0.00866
38,Power,0.00788
39,Power,0.00782
40,Power,0.00689
41,Power,0.00604
42,Power,0.00551
43,Power,0.00498
44,Power,0.00521
45,Power,0.00519
46,Power,0.0061
47,Power,0.00727
48,Power,0.009
49,Power,0.0091
50,Power,0.00775
51,Power,0.00786
52,Power,0.00806
53,Power,0.00978
54,Power,0.00948
55,Power,0.01035
56,Power,0.01039
57,Power,0.00903
58,Power,0.00846
59,Power,0.00708
60,Power,0.00798
61,Power,0.00752
62,Power,0.00799
63,Power,0.00729
64,Power,0.00642
65,Power,0.00575
66,Power,0.00507
67,Power,0.0052
68,Power,0.00507
69,Power,0.00556
70,Power,0.00633
71,Power,0.00747
72,Power,0.00879
73,Power,0.00809
74,Power,0.00864
75,Power,0.00812
76,Power,0.00972
77,Power,0.00969
78,Power,0.01053
79,Power,0.01034
80,Power,0.00901
81,Power,0.00879
82,Power,0.00791
83,Power,0.00914
84,Power,0.00897
85,Power,0.00958
86,Power,0.00894
87,Power,0.00776
88,Power,0.00681
89,Power,0.00572
90,Power,0.00572
91,Power,0.0054
92,Power,0.0058
93,Power,0.00616
94,Power,0.00729
95,Power,0.0089
96,Power,0.00847
97,Power,0.00939
98,Power,0.0087
99,Power,0.01074
100,Power,0.00993
101,Power,0.01106
102,Power,0.01111
103,Power,0.01055
104,Power,0.01021
105,Power,0.0091
106,Power,0.01071
107,Power,0.01083
108,Power,0.01191
109,Power,0.01156
110,Power,0.01033
111,Power,0.00968
112,Power,0.00826
113,Power,0.00806
114,Power,0.00719
115,Power,0.00723
116,Power,0.00686
117,Power,0.00625
118,Power,0.0054
119,Power,0.00486
120,Power,0.00466
1,Mobility,0.01015
2,Mobility,0.00934
3,Mobility,0.00894
4,Mobility,0.00855
5,Mobility,0.00974
6,Mobility,0.01096
7,Mobility,0.0143
8,Mobility,0.01819
9,Mobility,0.02041
10,Mobility,0.01907
11,Mobility,0.01387
12,Mobility,0.00934
13,Mobility,0.00586
14,Mobility,0.00371
15,Mobility,0.00239
16,Mobility,0.00123
17,Mobility,0.00102
18,Mobility,0.00102
19,Mobility,0.00123
20,Mobility,0.00178
21,Mobility,0.00239
22,Mobility,0.00441
23,Mobility,0.00894
24,Mobility,0.01137
25,Mobility,0.0122
26,Mobility,0.00934
27,Mobility,0.00894
28,Mobility,0.00855
29,Mobility,0.00974
30,Mobility,0.01096
31,Mobility,0.0143
32,Mobility,0.01819
33,Mobility,0.02041
34,Mobility,0.01907
35,Mobility,0.01387
36,Mobility,0.00934
37,Mobility,0.00586
38,Mobility,0.00371
39,Mobility,0.00239
40,Mobility,0.00123
41,Mobility,0.00102
42,Mobility,0.00102
43,Mobility,0.00123
44,Mobility,0.00178
45,Mobility,0.00239
46,Mobility,0.00441
47,Mobility,0.00894
48,Mobility,0.01137
49,Mobility,0.0122
50,Mobility,0.00934
51,Mobility,0.00894
52,Mobility,0.00855
53,Mobility,0.00974
54,Mobility,0.01096
55,Mobility,0.0143
56,Mobility,0.01819
57,Mobility,0.02041
58,Mobility,0.01907
59,Mobility,0.01387
60,Mobility,0.00934
61,Mobility,0.00586
62,Mobility,0.00371
63,Mobility,0.00239
64,Mobility,0.00123
65,Mobility,0.00102
66,Mobility,0.00102
67,Mobility,0.00123
68,Mobility,0.00178
69,Mobility,0.00239
70,Mobility,0.00441
71,Mobility,0.00894
72,Mobility,0.01137
73,Mobility,0.0122
74,Mobility,0.00934
75,Mobility,0.00894
76,Mobility,0.00855
77,Mobility,0.00974
78,Mobility,0.01096
79,Mobility,0.0143
80,Mobility,0.01819
81,Mobility,0.02041
82,Mobility,0.01907
83,Mobility,0.01387
84,Mobility,0.00934
85,Mobility,0.00586
86,Mobility,0.00371
87,Mobility,0.00239
88,Mobility,0.00123
89,Mobility,0.00102
90,Mobility,0.00102
91,Mobility,0.00123
92,Mobility,0.00178
93,Mobility,0.00239
94,Mobility,0.00441
95,Mobility,0.00894
96,Mobility,0.01137
97,Mobility,0.0122
98,Mobility,0.00934
99,Mobility,0.00894
100,Mobility,0.00855
101,Mobility,0.00974
102,Mobility,0.01096
103,Mobility,0.0143
104,Mobility,0.01819
105,Mobility,0.02041
106,Mobility,0.01907
107,Mobility,0.01387
108,Mobility,0.00934
109,Mobility,0.00586
110,Mobility,0.00371
111,Mobility,0.00239
112,Mobility,0.00123
113,Mobility,0.00102
114,Mobility,0.00102
115,Mobility,0.00123
116,Mobility,0.00178
117,Mobility,0.00239
118,Mobility,0.00441
119,Mobility,0.00894
120,Mobility,0.01199
1,Heat,0.01206
2,Heat,0.01388
3,Heat,0.01512
4,Heat,0.01592
5,Heat,0.01491
6,Heat,0.01584
7,Heat,0.01611
8,Heat,0.01529
9,Heat,0.01379
10,Heat,0.01252
11,Heat,0.0156
12,Heat,0.0194
13,Heat,0.02277
14,Heat,0.02181
15,Heat,0.01895
16,Heat,0.01768
17,Heat,0.01831
18,Heat,0.02208
19,Heat,0.02634
20,Heat,0.02836
21,Heat,0.02533
22,Heat,0.01973
23,Heat,0.01425
24,Heat,0.01306
25,Heat,0.016
26,Heat,0.01841
27,Heat,0.01722
28,Heat,0.01272
29,Heat,0.00936
30,Heat,0.00833
31,Heat,0.00756
32,Heat,0.00516
33,Heat,0.00412
34,Heat,0.0032
35,Heat,0.00439
36,Heat,0.00353
37,Heat,0.00415
38,Heat,0.00577
39,Heat,0.00571
40,Heat,0.00517
41,Heat,0.00443
42,Heat,0.00519
43,Heat,0.00492
44,Heat,0.00451
45,Heat,0.0054
46,Heat,0.0049
47,Heat,0.00326
48,Heat,0.00156
49,Heat,0.00097
50,Heat,0.00097
51,Heat,0.00097
52,Heat,0.00097
53,Heat,0.00097
54,Heat,0.00097
55,Heat,0.00097
56,Heat,0.00097
57,Heat,0.00139
58,Heat,0.00139
59,Heat,0.00139
60,Heat,0.00112
61,Heat,0.00117
62,Heat,0.00117
63,Heat,0.00117
64,Heat,0.00112
65,Heat,0.00112
66,Heat,0.00097
67,Heat,0.00097
68,Heat,0.00097
69,Heat,0.00097
70,Heat,0.00097
71,Heat,0.00097
72,Heat,0.00097
73,Heat,0.00097
74,Heat,0.00097
75,Heat,0.00097
76,Heat,0.00097
77,Heat,0.00097
78,Heat,0.00097
79,Heat,0.00097
80,Heat,0.00097
81,Heat,0.00097
82,Heat,0.00116
83,Heat,0.00118
84,Heat,0.00194
85,Heat,0.0022
86,Heat,0.00217
87,Heat,0.00244
88,Heat,0.00455
89,Heat,0.00757
90,Heat,0.00969
91,Heat,0.00902
92,Heat,0.00896
93,Heat,0.00723
94,Heat,0.00634
95,Heat,0.00488
96,Heat,0.00548
97,Heat,0.00707
98,Heat,0.00823
99,Heat,0.01036
100,Heat,0.00948
101,Heat,0.00894
102,Heat,0.00522
103,Heat,0.00481
104,Heat,0.00544
105,Heat,0.00962
106,Heat,0.01357
107,Heat,0.0177
108,Heat,0.01805
109,Heat,0.019
110,Heat,0.01617
111,Heat,0.01559
112,Heat,0.01177
113,Heat,0.01227
114,Heat,0.01371
115,Heat,0.01661
116,Heat,0.01696
117,Heat,0.01393
118,Heat,0.01344
119,Heat,0.01352
120,Heat,0.01529
